0,1,2,3,4,5,6,7,8
,,水替工,(ﾎﾟﾝﾌﾟ排水),【排水量】,日,式 or 日,Q70099001,任意とする場合
,,,,,,,,ﾚﾍﾞﾙ3で1式
,石･ﾌﾞﾛｯｸ積(張)工,作業土工,(掘削),【土質】,m3,式 or m3,Q20011001,
,,,(床掘り),【土質】,m3,式 or m3,Q20022001,
,,,(埋戻し),【土質】,m3,式 or m3,Q20023001,
,,,(基面整正),【　－　】,m2,式 or m2,Q20024001,
,,,(土砂等運搬),【土質】,m3,式 or m3,Q20012001,
,,,(残土等処分),【　－　】,m3,式 or m3,Q20021001,任意とする場合
,,,(整地),【　－　】,m3,式 or m3,Q20014001,ﾚﾍﾞﾙ3で1式
,,,(掘削補助機械搬入搬出),【　－　】,回,式 or 回 Q20025001,,
,,,(転石破砕),【　－　】,m3,式 or m3,Q20015001,
,,,(積込(ﾙｰｽﾞ)),【土質】,m3,式 or m3,Q20017001,
,,,(人力積込),【土質】,m3,式 or m3,Q20018001,
,,,(人力運搬),【換算距離】,m3,式 or m3,Q20026001,
,,,(押土(ﾙｰｽﾞ)),【土質】,m3,式 or m3,Q20016001,
,,,(土材料),【　－　】,m3,式 or m3,Q20020001,
,,ｺﾝｸﾘｰﾄﾌﾞﾛｯｸ工,現場打基礎ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格、底幅、高さ、基礎砕石の有無】,m,m,Q70082002,
,,(ｺﾝｸﾘｰﾄﾌﾞﾛｯｸ積),ﾌﾟﾚｷｬｽﾄ基礎ﾌﾞﾛｯｸ,【底幅、高さ、ﾌﾟﾚｷｬｽﾄ材規格(型)、基礎材規格、敷厚】,m,m,Q70082003,
,,,現場打小口止ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q10213001,
,,,ﾌﾟﾚｷｬｽﾄ小口止ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10213002,
,,,現場打横帯(隔壁)ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q10214001,
,,,ﾌﾟﾚｷｬｽﾄ横帯(隔壁)ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10214002,
,,,ｺﾝｸﾘｰﾄ(間知)ﾌﾞﾛｯｸ積,【ﾌﾞﾛｯｸ規格】,m2,m2,Q10215002,
,,,大型ﾌﾞﾛｯｸ積,【ﾌﾞﾛｯｸ規格】,m2,m2,Q10215003,
,,,胴込・裏込ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q10216001,
,,,胴込・裏込材(砕石),【砕石規格】,m3,m3,Q10217001,
,,,吸出し防止材(全面)設置,【材質、種類、厚さ】,m2,m2,Q10638001,
,,,遮水ｼｰﾄ張,【材質、種類、寸法】,m2,m2,Q10218001,
,,,ｼｰﾙ材,【規格】,m m,m m,Q10218002,
,,,ﾌﾟﾚｷｬｽﾄ巻止ﾌﾞﾛｯｸ,【幅、高さ】,,,Q10218003,
,,,現場打天端ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q70083002,
レベル１,レベル２,レベル３,レベル４,レベル５,積算用,工事数量総,ﾓｼﾞｭｰﾙ,
,,,,,,,,摘　　要
工事区分,工　　種,種　　別,細　　別,規　　格,単位,括表用単位,ｺｰﾄﾞ№,
（整地）,,ｺﾝｸﾘｰﾄﾌﾞﾛｯｸ工,現場打基礎ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格、底幅、高さ、基礎砕石の有無】,m,m,Q70082002,
,,(間知ﾌﾞﾛｯｸ張),ﾌﾟﾚｷｬｽﾄ基礎ﾌﾞﾛｯｸ,【底幅、高さ、ﾌﾟﾚｷｬｽﾄ材規格(型)、基礎材規格、敷厚】,m,m,Q70082003,
,,,現場打小口止ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q10213001,
,,,ﾌﾟﾚｷｬｽﾄ小口止ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10213002,
,,,現場打横帯(隔壁)ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q10214001,
,,,ﾌﾟﾚｷｬｽﾄ横帯(隔壁)ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10214002,
,,,間知ﾌﾞﾛｯｸ張,【ﾌﾞﾛｯｸ規格、裏込材規格、胴込・裏込ｺﾝｸﾘｰﾄ規格】,m2,m2,Q15768001,
,,,遮水ｼｰﾄ張,【材質、種類、寸法】,m2,m2,Q10218001,
,,,ｼｰﾙ材,【規格】,m,m,Q10218002,
,,,ﾌﾟﾚｷｬｽﾄ巻止ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10218003,
,,,現場打天端ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q70083002,
,,ｺﾝｸﾘｰﾄﾌﾞﾛｯｸ工,現場打基礎ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格、底幅、高さ、基礎砕石の有無】,m,m,Q70082002,
,,(平ﾌﾞﾛｯｸ張),ﾌﾟﾚｷｬｽﾄ基礎ﾌﾞﾛｯｸ,【底幅、高さ、ﾌﾟﾚｷｬｽﾄ材規格(型)、基礎材規格、敷厚】,m,m,Q70082003,
,,,現場打小口止ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q10213001,
,,,ﾌﾟﾚｷｬｽﾄ小口止ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10213002,
,,,現場打横帯(隔壁)ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q10214001,
,,,ﾌﾟﾚｷｬｽﾄ横帯(隔壁)ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10214002,
,,,平ﾌﾞﾛｯｸ張,【ﾌﾞﾛｯｸ規格】,m2,m2,Q15769001,
,,,遮水ｼｰﾄ張,【材質、種類、寸法】,m2,m2,Q10218001,
,,,ｼｰﾙ材,【規格】,m,m,Q10218002,
,,,ﾌﾟﾚｷｬｽﾄ巻止ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10218003,
,,,現場打天端ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q70083002,
,,ｺﾝｸﾘｰﾄﾌﾞﾛｯｸ工,現場打基礎ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格、底幅、高さ、基礎砕石の有無】,m,m,Q70082002,
,,(連節ﾌﾞﾛｯｸ張),ﾌﾟﾚｷｬｽﾄ基礎ﾌﾞﾛｯｸ,【底幅、高さ、ﾌﾟﾚｷｬｽﾄ材規格(型)、基礎材規格、敷厚】,m,m,Q70082003,
,,,現場打小口止ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q10213001,
,,,ﾌﾟﾚｷｬｽﾄ小口止ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10213002,
,,,現場打横帯(隔壁)ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q10214001,
,,,ﾌﾟﾚｷｬｽﾄ横帯(隔壁)ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10214002,
,,,連節ﾌﾞﾛｯｸ張,【ﾌﾞﾛｯｸ規格】,m2,m2,Q15770001,
,,,遮水ｼｰﾄ張,【材質、種類、寸法】,m2,m2,Q10218001,
,,,ｼｰﾙ材,【規格】,m,,Q10218002,
,,,ﾌﾟﾚｷｬｽﾄ巻止ﾌﾞﾛｯｸ,【幅、高さ】,m,,Q10218003,
,,,現場打天端ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q70083002,
,,ｺﾝｸﾘｰﾄﾌﾞﾛｯｸ工,現場打基礎ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格、底幅、高さ、基礎砕石の有無】,m,m,Q70082002,
